"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"P2";"USB_C_Plug_Molex_105444";1;"USB_C_Plug_USB2.0";;;
2;"C10,C11,C8,C7,C6,C5,C4,C3,C2,C1";"C_0402_1005Metric";10;"0.1uF";;;
3;"IC1";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q16JVZPIQ_TR";;;
4;"VR1";"SOT95P237X112-3N";1;"MCP1700T-3302E_TT";;;
5;"SW1";"SW_Push_1P1T-SH_NO_CK_KMR2xxG";1;"SW_Push";;;
6;"J1";"PinHeader_1x03_P1.00mm_Vertical";1;"Conn_01x03";;;
7;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12 MHz";;;
8;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
9;"R7";"R_0402_1005Metric";1;"10K";;;
10;"R6,R5";"R_0402_1005Metric";2;"1K";;;
11;"R4,R3";"R_0402_1005Metric";2;"27";;;
12;"R2,R1";"R_0402_1005Metric";2;"5.1K";;;
13;"C16,C15";"C_0402_1005Metric";2;"15pF";;;
14;"C14,C13";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"10uF";;;
15;"C12,C9";"C_0402_1005Metric";2;"1uF";;;
